DOI	Cited title	Citation ID	CC paragraph	Citation_context	Cited_content	Citing DOI	PMCID	Label
10.1016/j.cub.2017.05.064	Animal communication: When i’m calling you, will you answer too?	B25-animals-12-01546	Inbreeding is known to negatively affects the reproductive performance of male animals [ 21 ], and when expressed at high levels can cause poor semen quality [ 22 , 23 , 24 , 25 ]. However, not all inbreeding reported is harmful; the authors of [ 26 ] reported that recent inbreeding is more harmful than ancient inbreeding due to selection decreasing the frequency of deleterious alleles over time. Many studies have explored the genome wide distribution of ROH and inbreeding depression in cattle populations [ 9 , 27 , 28 ] using high density Illumina BovineHD BeadChip microarrays. This includes studies such as [ 29 ], whose findings showed that ROH are frequent across all breeds (Angus, Belgian Blue, Charolais, Friesian, Hereford, Holstein, Holstein-Friesian, Limousin, and Simmental); however, difference in patterns of ROH and variation is based on breed origin and recent management. The authors of [ 10 ] reported the distinct differences in length, quantity, and frequency of ROH between breeds and levels of genomic inbreeding. The study highlighted higher levels of inbreeding observed in commercial breeds, especially beef breeds and identified a number of genes confirmed to influence production traits [ 10 ]. Homozygous regions of the genome [ 8 ] have been reported in different species, not only in cattle [ 19 , 30 ], but these regions have been used to quantify individual inbreeding in humans [ 18 ], goats [ 31 ], buffalo [ 32 ], sheep [ 33 ], and pigs [ 12 ]; based on results of ROH in these studies, it appears to be more accurate than traditional pedigree-based estimates [ 13 ]. In this study, more than 1000 Mb ROH were estimated in six selected Chinese and South African beef cattle breeds at a genomic length of 2.6 Gb, with the highest ROH observed in the NGU, ANG, BEL, CSI, SIM, and BON breeds. Furthermore, the highest ROH were observed between classes 0–5 Mb compared to the rest of the classes (5–10 Mb, 10–20 Mb and 20–40 Mb) with no ROH observed in >40 class. Similar results were reported by [ 29 ], who compared European cattle breeds to the European bison, with average ROH observed for Angus and Hereford, and the most ROH were observed for the European bison breeds between classes 1–5 Mb, suggesting limited recent inbreeding for Angus and Hereford, but reporting high levels of inbreeding for European bison. These results confirm earlier studies that reported population history involving a severe bottleneck [ 29 ]. Runs of homozygosity can be affected by demographic events [ 34 ], e.g., age, geography, breed history and origin, area of distribution, climate, introduction of breeds, environment, production system, etc.; the fact that breeds from this study are distributed in two geographically different environments might explain the inbreeding. The authors of [ 35 ] reported that inbred individuals are particularly sensitive to environment changes this can explaining most of the breeds in the study are inbred due to moving from one captive environment to another captive environment. Analysis at a genomic level revealed significant distribution of ROH within the selected six Chinese and South African beef cattle breeds. Chinese CSI and BEL had significant ROH observed on chromosomes 5, 6, 11, and 14 for both breeds. South Africa BON showed the highest ROH on chromosomes 5, 7, and 14, and SIM displayed the most ROH on chromosomes 5, 6, and 14. The highest genome coverage in ROH observed for ANG on chromosomes 1–6, 11, and 14, and NGU on chromosomes 1–3, 5–7, 11, and 14. The study further used length and number of ROH to identify SNPs in those ROH. The authors of [ 30 ] reported that greatest number of ROH per chromosomes was observed for chromosome 1 across all 867 animals, and ROH per chromosome tended to decrease with chromosome length. By identifying the number of SNPs in ROH, the study identified overlapping ROH that were above the threshold of 0.05. Chromosome 14 had the most SNPs above the threshold; still, it did not report any QTL or association to any candidate gene in all breeds. Additionally, no SNP in ROH were identified for NGU; possibly markers were standardized for commercial breeds, e.g., (Simentaler) however Nguni is an indigenous Southern African breed. In total, we reported 13 genomic regions that were associated to nine candidate genes ( CDF9 ,  MARCH1 ,  WDR19 ,  SLOICI ,  ST7 ,  DOP1B ,  CFAF9 ,  INHBA , and  ADAMTS1 ). The authors of [ 36 ] reported that genomic regions located on  BTA 7, BTA 14, BTA 16,  and  BTA 18  were characterized by a high frequency of ROH occurrence and included important genes related to immune traits, muscularity, and ease of calving. The authors of [ 10 ] reported a similar region,  BTA 6 , was identified for Polish Red, Limousin, and Simmental breeds.  MARCH1  [ 19 ] revealed an association with QTL for sperm motility and semen volume on  BTA 6  in SIM. The  MARCH 1  gene was also reported by [ 37 ] to be significantly associated with semen production traits (semen volume per ejaculate, number of sperm per ejaculate, and number of motile sperm per ejaculate). Another gene associated with QTL for sperm motility revealed on  BTA 5  is  SLCO1C1  [ 17 ] for BON and BEL.  BTA 7  revealed the growth differentiation GDF9 gene was associated with QTL for sperm motility, sperm count, and sperm integrity. This was also reported by [ 38 ] who revealed significant association of  GDF9  with sperm quality traits in Holstein bulls. The results also stated that  GDF9  is involved in the initiation or maintenance of spermatogenesis; however, further verification is needed. WD repeat domain 19 ( WDR 19 ) gene was detected on  BTA 5  and  BTA 6  for CSI showed an association to QTL sperm motility, sperm head abnormalities, and sperm tail abnormalities; this gene was reported to be associated to ejaculate volume, sperm concentration, sperm motility, and sperm head and tail anomalies [ 39 ]. On  BTA 4 ,  ST7  gene was significant to QTLs for sperm count and sperm motility, this gene was also reported by [ 40 ] as the nearest genes for poor sperm motility. QTL associated with semen traits were identified and validated by previously published literature. This study highlighted genes within QTL regions of semen for beef bulls. Identification of the QTL regions associated with these traits provides the knowledge necessary to enrich these regions [ 35 ]. The authors of [ 41 ] reported on three QTL found to be related with abnormal sperm frequencies at a significant  p  < 0.01. The authors of [ 40 ] reported several candidate genes associated with sperm concentration, sperm motility and sperm volume in Holstein-Friesian populations.	Inbreeding is known to negatively affects the reproductive performance of male animals [ 21 ], and when expressed at high levels can cause poor semen quality [ 22 , 23 , 24 , 25 ].	Male moths compete to arrive first at a female releasing pheromone. A new study reveals that additional pheromone cues released only by younger females may prompt males to avoid them in favor of older but more fecund females.	10.3390/ani12121546	9219517	Unrelated
10.1371/journal.pone.0090972	Protease inhibitors from marine actinobacteria as a potential source for antimalarial compound	bib0050	Some strains of other gut bacteria such as  Faecalibacterium  and  Ruminococcaceae  are related to the expression of zonulin which is a protein which is responsible for modulating gut permeability. Increased level of zonulin is linked to behavioral disregularity  [49] . SCFA is found to be lower in autistic patients who are correlated with presence of  Faecalibacterium, Ruminococcus , and  Bifidobacterium  species.  Clostridia  species are found in abundance in ASD patients which is responsible for the production of propionate  [50] .	SCFA is found to be lower in autistic patients who are correlated with presence of  Faecalibacterium, Ruminococcus , and  Bifidobacterium  species. Clostridia  species are found in abundance in ASD patients which is responsible for the production of propionate  50 .	The study was planned to screen the marine actinobacterial extract for the protease inhibitor activity and its anti- Pf activity under in vitro and in vivo conditions. Out of 100 isolates, only 3 isolates exhibited moderate to high protease inhibitor activities on trypsin, chymotrypsin and proteinase K. Based on protease inhibitor activity 3 isolates were chosen for further studies. The potential isolate was characterized by polyphasic approach and identified as Streptomyces sp LK3 (JF710608). The lead compound was identified as peptide from Streptomyces sp LK3. The double-reciprocal plot displayed inhibition mode is non-competitive and it confirms the irreversible nature of protease inhibitor. The peptide from Streptomyces sp LK3 extract showed significant anti plasmodial activity (IC50: 25.78 µg/ml). In in vivo model, the highest level of parasitemia suppression (≈ 45%) was observed in 600 mg/kg of the peptide. These analyses revealed no significant changes were observed in the spleen and liver tissue during 8 dpi. The results confirmed up-regulation of TGF-β and down regulation of TNF-α in tissue and serum level in PbA infected peptide treated mice compared to PbA infection. The results obtained infer that the peptide possesses anti- Pf activity activity. It suggests that the extracts have novel metabolites and could be considered as a potential source for drug development.	10.1016/j.imj.2022.08.004	10699709	Unrelated
10.1371/journal.pone.0090972	Protease inhibitors from marine actinobacteria as a potential source for antimalarial compound	bib0050	"Whereas,  Alistipes, Bilophila, Veillonella , 
 Faecalibacterium, Ruminococcus, Bifidobacterium  and Genera  Prevotella, Coprococcus,  unclassified  Veillonellaceae, Prevotella copri, Faecalibacterium prausnitzii,  and  Haemophilus parainfluenzae  were detected in lower abundance in ASD patients  [50] ."	"Whereas,  Alistipes, Bilophila, Veillonella , 
 Faecalibacterium, Ruminococcus, Bifidobacterium  and Genera  Prevotella, Coprococcus,  unclassified  Veillonellaceae, Prevotella copri, Faecalibacterium prausnitzii,  and  Haemophilus parainfluenzae  were detected in lower abundance in ASD patients  [50] ."	The study was planned to screen the marine actinobacterial extract for the protease inhibitor activity and its anti- Pf activity under in vitro and in vivo conditions. Out of 100 isolates, only 3 isolates exhibited moderate to high protease inhibitor activities on trypsin, chymotrypsin and proteinase K. Based on protease inhibitor activity 3 isolates were chosen for further studies. The potential isolate was characterized by polyphasic approach and identified as Streptomyces sp LK3 (JF710608). The lead compound was identified as peptide from Streptomyces sp LK3. The double-reciprocal plot displayed inhibition mode is non-competitive and it confirms the irreversible nature of protease inhibitor. The peptide from Streptomyces sp LK3 extract showed significant anti plasmodial activity (IC50: 25.78 µg/ml). In in vivo model, the highest level of parasitemia suppression (≈ 45%) was observed in 600 mg/kg of the peptide. These analyses revealed no significant changes were observed in the spleen and liver tissue during 8 dpi. The results confirmed up-regulation of TGF-β and down regulation of TNF-α in tissue and serum level in PbA infected peptide treated mice compared to PbA infection. The results obtained infer that the peptide possesses anti- Pf activity activity. It suggests that the extracts have novel metabolites and could be considered as a potential source for drug development.	10.1016/j.imj.2022.08.004	10699709	Unrelated
10.1371/journal.pone.0090972	Protease Inhibitors From Marine Actinobacteria as a Potential Source for Antimalarial Compound	B87	Intracellular Leishmania survival is further influenced by the host’s glycolytic and lipid metabolism. Early after  in vitro  infection, Leishmania-infected macrophages upregulate the transcription of numerous glycolytic genes (e.g. hexokin pyruvate kinase isozymes M2, lactate dehydrogenase A), which correlates with intracellular parasite survival ( 83 – 86 ). Infected macrophages were reported to have less intracellular amastigotes when glycolysis was inhibited with 2-deoxyglucose (2-DG) ( 86 ). In addition, Leishmania infection reduces the sensitivity of mitochondrial membrane permeabilization to apoptotic stimuli, implying a relationship between mitochondria and parasite persistence ( 82 ). Overall, glycolysis was found to be crucial in the early stages of Leishmania spp. infection in macrophages and neutrophils, whereas enhanced mitochondrial metabolism was revealed to be important in the late stages of infection ( 87 ,  88 ).	Overall, glycolysis was found to be crucial in the early stages of Leishmania spp. infection in macrophages and neutrophils, whereas enhanced mitochondrial metabolism was revealed to be important in the late stages of infection ( 87 ,  88 ).	The study was planned to screen the marine actinobacterial extract for the protease inhibitor activity and its anti- Pf activity under in vitro and in vivo conditions. Out of 100 isolates, only 3 isolates exhibited moderate to high protease inhibitor activities on trypsin, chymotrypsin and proteinase K. Based on protease inhibitor activity 3 isolates were chosen for further studies. The potential isolate was characterized by polyphasic approach and identified as Streptomyces sp LK3 (JF710608). The lead compound was identified as peptide from Streptomyces sp LK3. The double-reciprocal plot displayed inhibition mode is non-competitive and it confirms the irreversible nature of protease inhibitor. The peptide from Streptomyces sp LK3 extract showed significant anti plasmodial activity (IC50: 25.78 µg/ml). In in vivo model, the highest level of parasitemia suppression (≈ 45%) was observed in 600 mg/kg of the peptide. These analyses revealed no significant changes were observed in the spleen and liver tissue during 8 dpi. The results confirmed up-regulation of TGF-β and down regulation of TNF-α in tissue and serum level in PbA infected peptide treated mice compared to PbA infection. The results obtained infer that the peptide possesses anti- Pf activity activity. It suggests that the extracts have novel metabolites and could be considered as a potential source for drug development.	10.3389/fimmu.2022.847797	9236557	Unrelated
10.1371/journal.pone.0090972	Protease inhibitors from marine actinobacteria as a potential source for antimalarial compound	B133-marinedrugs-13-04006	Kazal-type proteinase inhibitor from disk abalone ( Haliotis discus discus ) probably played a role in immune defense and wound healing [ 132 ]. The peptide isolated from  Streptomyces  sp. LK3 extract manifested activity against the malaria parasite Plasmodium [ 133 ]. Two linear peptidic aspartic protease inhibitors, ahpatinin Ac and ahpatinin Pr, isolated from a marine  Streptomyces  sp. exhibited inhibitory activity toward cathepsin B9 and pepsin [ 134 ]. Nazumamide A is a thrombin inhibitor from a sponge-associated marine actinobacterium  Salinispora  sp. [ 135 ].	The peptide isolated from  Streptomyces  sp. LK3 extract manifested activity against the malaria parasite Plasmodium  133 .	The study was planned to screen the marine actinobacterial extract for the protease inhibitor activity and its anti- Pf activity under in vitro and in vivo conditions. Out of 100 isolates, only 3 isolates exhibited moderate to high protease inhibitor activities on trypsin, chymotrypsin and proteinase K. Based on protease inhibitor activity 3 isolates were chosen for further studies. The potential isolate was characterized by polyphasic approach and identified as Streptomyces sp LK3 (JF710608). The lead compound was identified as peptide from Streptomyces sp LK3. The double-reciprocal plot displayed inhibition mode is non-competitive and it confirms the irreversible nature of protease inhibitor. The peptide from Streptomyces sp LK3 extract showed significant anti plasmodial activity (IC50: 25.78 µg/ml). In in vivo model, the highest level of parasitemia suppression (≈ 45%) was observed in 600 mg/kg of the peptide. These analyses revealed no significant changes were observed in the spleen and liver tissue during 8 dpi. The results confirmed up-regulation of TGF-β and down regulation of TNF-α in tissue and serum level in PbA infected peptide treated mice compared to PbA infection. The results obtained infer that the peptide possesses anti- Pf activity activity. It suggests that the extracts have novel metabolites and could be considered as a potential source for drug development.	10.3390/md13074006	4515606	Unrelated
10.1371/journal.pone.0090972	Protease inhibitors from marine actinobacteria as a potential source for antimalarial compound	CR11	Previous studies have shown that ETEC-infected IPEC-J2 exhibit decreased expression of tight junction proteins such as occludin, claudin, and zonula occludens-1 (ZO-1), coincident with the secretion of chemokines such as monocyte chemoattractant protein (MCP)-1 and interleukin (IL)-8, which recruit immune cells into the local inflammatory site 10 . Pro-inflammatory cytokines, including IL-1β, IL-2, IL-6, IL-12p40, interferon (IFN)-γ, and tumor necrosis factor (TNF)-α, have been observed in sera from ETEC-infected pigs 11 .	Pro-inflammatory cytokines, including IL-1β, IL-2, IL-6, IL-12p40, interferon (IFN)-γ, and tumor necrosis factor (TNF)-α, have been observed in sera from ETEC-infected pigs 11 .	The study was planned to screen the marine actinobacterial extract for the protease inhibitor activity and its anti- Pf activity under in vitro and in vivo conditions. Out of 100 isolates, only 3 isolates exhibited moderate to high protease inhibitor activities on trypsin, chymotrypsin and proteinase K. Based on protease inhibitor activity 3 isolates were chosen for further studies. The potential isolate was characterized by polyphasic approach and identified as Streptomyces sp LK3 (JF710608). The lead compound was identified as peptide from Streptomyces sp LK3. The double-reciprocal plot displayed inhibition mode is non-competitive and it confirms the irreversible nature of protease inhibitor. The peptide from Streptomyces sp LK3 extract showed significant anti plasmodial activity (IC50: 25.78 µg/ml). In in vivo model, the highest level of parasitemia suppression (≈ 45%) was observed in 600 mg/kg of the peptide. These analyses revealed no significant changes were observed in the spleen and liver tissue during 8 dpi. The results confirmed up-regulation of TGF-β and down regulation of TNF-α in tissue and serum level in PbA infected peptide treated mice compared to PbA infection. The results obtained infer that the peptide possesses anti- Pf activity activity. It suggests that the extracts have novel metabolites and could be considered as a potential source for drug development.	10.1038/s41598-022-04861-4	8766502	Unrelated
10.1371/journal.pone.0090972	Protease inhibitors from marine actinobacteria as a potential source for antimalarial compound	b57-ijmm-49-05-05116	Talin-1 and vinculin are mechanosensitive cellular proteins that can be folded and unfolded via mechanical forces ( 51 ). This unfolding causes the disruption of the tertiary structure of the protein, revealing the cryptic sites for various ligand binding, molecule activation or domain cleavage by proteases ( 52 ). In addition to its role as an integrin activator, Talin-1 also functions as a mechanosensor responsible for the transmission of tension between the actomyosin machinery and the ECM, within the FA ( 11 ). To perform its role as a mechanosensor, Talin-1 requires at least two anchorage points: ECM-anchored integrins and actin (the cytoskeleton). Talin-1 head domain binds to the integrin cytosolic tail with its tail binding to the actin, thus connecting integrins with the cytoskeleton ( 53 ). This bridging position allows Talin-1 to be folded and unfolded either by mechanical forces generated from the outside or internally by cytoskeletal contraction. Talin-1 participates in both 'inside-out' and 'outside-in' signaling, and is capable of transmitting mechanical forces imposed on cells externally, or generated internally ( 45 , 53 - 56 ). Through its binding to the cytoplasmic tail of integrin β subunits, Talin-1 controls integrin activation, linking the integrin β subunit to the actin bundles rod through by the C-terminal rod ( 14 ). The bridging position of the Talin-1 molecule leads to its unfolding and stretching due to the actomyosin contraction, and these conformation changes affect the affinity and interaction with its binding partners ( 57 ). Talin-1 is required for the initial weak connection between small clusters of integrins and the cytoskeleton ( 58 ), and for the reinforcement of integrin linkages to the cytoskeleton when cells encounter mechanical forces, again suggesting the role of Talin-1 in FA formation ( 42 , 59 ). Thus, similar to the activation and inactivation of integrins, the activation and inhibition of Talin-1 has been reported to play a crucial role in the regulation of FA dynamics and the transduction of mechanical signals.	The bridging position of the Talin-1 molecule leads to its unfolding and stretching due to the actomyosin contraction, and these conformation changes affect the affinity and interaction with its binding partners ( 57 ).	The study was planned to screen the marine actinobacterial extract for the protease inhibitor activity and its anti- Pf activity under in vitro and in vivo conditions. Out of 100 isolates, only 3 isolates exhibited moderate to high protease inhibitor activities on trypsin, chymotrypsin and proteinase K. Based on protease inhibitor activity 3 isolates were chosen for further studies. The potential isolate was characterized by polyphasic approach and identified as Streptomyces sp LK3 (JF710608). The lead compound was identified as peptide from Streptomyces sp LK3. The double-reciprocal plot displayed inhibition mode is non-competitive and it confirms the irreversible nature of protease inhibitor. The peptide from Streptomyces sp LK3 extract showed significant anti plasmodial activity (IC50: 25.78 µg/ml). In in vivo model, the highest level of parasitemia suppression (≈ 45%) was observed in 600 mg/kg of the peptide. These analyses revealed no significant changes were observed in the spleen and liver tissue during 8 dpi. The results confirmed up-regulation of TGF-β and down regulation of TNF-α in tissue and serum level in PbA infected peptide treated mice compared to PbA infection. The results obtained infer that the peptide possesses anti- Pf activity activity. It suggests that the extracts have novel metabolites and could be considered as a potential source for drug development.	10.3892/ijmm.2022.5116	8930095	Unrelated
28743020	Animal communication: when i'm calling you, will you answer too?	bib42	Interactions between COFs and a spike protein can alter the structure of the spike protein. Therefore, the distribution of spike protein secondary structures was analyzed in order to establish the effect of the best COF on the deformation of the spike protein folding. The fact is that the suitable condition of the interaction between the spike protein and ACE2 receptor occurs in the case of increasing the β-sheets and α-helices, and decreasing the coils, bends, and turns [ 42 , 43 ].  Fig. 3 c shows the secondary structures of the spike protein both with and without the company of COFs. As is clear, the presence of COFs increased coils, bends, and turns, as well as reduced the β-sheets and α-helices. COFs were shown to have positive performance in deforming the spike protein, in which a reduction of the spike protein interactions with the ACES2 receptor resulted. Moreover, the findings declared that COF-78 was the most potent ligand among the other selected molecules for changing the folding of the spike protein motif as the increase in coil, bend, and turn structures had been the highest in the protein simulation. Furthermore, investigating the number of hydrogen bonds, as well as the energy of interaction, proved instability of the spike protein secondary structure.	The fact is that the suitable condition of the interaction between the spike protein and ACE2 receptor occurs in the case of increasing the β-sheets and α-helices, and decreasing the coils, bends, and turns [ 42 , 43 ].	Male moths compete to arrive first at a female releasing pheromone. A new study reveals that additional pheromone cues released only by younger females may prompt males to avoid them in favor of older but more fecund females.	10.1016/j.matchemphys.2021.125382	8550915	Unrelated
10.1016/j.cub.2017.05.064	Animal communication: When I’m calling you, will you answer too?	B2-gels-10-00064	In the original publication [ 1 ], the Reference 17 (Section 2, Paragraph 1) was wrongly cited [ 2 ]. The right reference that the authors intended to cite is [ 3 ] by Patel et al.	In the original publication  1 , the Reference 17 Section 2, Paragraph 1 was wrongly cited  2 .	Male moths compete to arrive first at a female releasing pheromone. A new study reveals that additional pheromone cues released only by younger females may prompt males to avoid them in favor of older but more fecund females.	10.3390/gels10010064	10814996	Related
10.1016/j.cub.2017.05.064	Animal Communication: When I’m Calling You, Will You Answer Too?	B76-ijms-21-07287	Some miRNAs have been shown to modulate multidrug resistance in many tumor cells, including PAs. For instance, Wu et al. identified that miR-93 was significantly upregulated in bromocriptine-resistant prolactinomas [ 75 ]. In addition, the silencing of mir-93 significantly increased the sensitivity of MMQ cells to dopamine agonist treatment. Their miRNA–mRNA network analysis predicted that miR-93 could potentially regulate p21 expression. In another study, Hu et al. confirmed that miR-93-5p could enhance the drug resistance of prolactinoma cells by regulation of TGF-β1/Smad3-dependent fibrosis [ 76 ]. Jian et al. explored the relationship between miR-145-5p expression as well as bromocriptine sensitivity both in vitro and in vivo [ 77 ]. They demonstrated that miR-145-5p was decreased in bromocriptine-resistant prolactinoma tissues; the downregulation of miR-145-5p was correlated with the upregulation of translationally controlled tumor protein (TPT1) in this study. Taken together, this study suggested that miR-145-5p affected the sensitivity of prolactinoma to bromocriptine by directly binding to the 3′-UTR of TPT1. miR-145-5p might be a promising candidate target to develop a novel therapeutic strategy to overcome the bromocriptine resistance of prolactinoma.	In another study, Hu et al. confirmed that miR-93-5p could enhance the drug resistance of prolactinoma cells by regulation of TGF-β1/Smad3-dependent fibrosis [ 76 ].	Male moths compete to arrive first at a female releasing pheromone. A new study reveals that additional pheromone cues released only by younger females may prompt males to avoid them in favor of older but more fecund females.	10.3390/ijms21197287	7583927	Unrelated
