DOI	Cited title	Citation ID	CC paragraph	Citation_context	Citing DOI	PMCID	Cited_content
10.3322/caac.21660	Global cancer statistics 2020: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries	B1	Gynecologic cancer can affect various organs within the female reproductive system, including the uterus, cervix, vulva, ovary, and vagina. In 2020, there were 313,959 new cases of ovarian cancer, 417,367 new cases of endometrial cancer, and 604,127 new cases of cervical cancer reported worldwide, with recorded death numbers of 207,252, 97,370, and 341,831, respectively ( 1 ). Fortunately, the incidence of cervical cancer has decreased over the past three decades, thanks to routine screening, HPV vaccination, and the management of premalignant lesions. However, the incidence of ovarian and endometrial cancer has increased ( 2 ).	In 2020, there were 313,959 new cases of ovarian cancer, 417,367 new cases of endometrial cancer, and 604,127 new cases of cervical cancer reported worldwide, with recorded death numbers of 207,252, 97,370, and 341,831, respectively ( 1 ).	10.3389/fonc.2023.1215194		<jats:title>Abstract</jats:title><jats:p>This article provides an update on the global cancer burden using the GLOBOCAN 2020 estimates of cancer incidence and mortality produced by the International Agency for Research on Cancer. Worldwide, an estimated 19.3 million new cancer cases (18.1 million excluding nonmelanoma skin cancer) and almost 10.0 million cancer deaths (9.9 million excluding nonmelanoma skin cancer) occurred in 2020. Female breast cancer has surpassed lung cancer as the most commonly diagnosed cancer, with an estimated 2.3 million new cases (11.7%), followed by lung (11.4%), colorectal (10.0 %), prostate (7.3%), and stomach (5.6%) cancers. Lung cancer remained the leading cause of cancer death, with an estimated 1.8 million deaths (18%), followed by colorectal (9.4%), liver (8.3%), stomach (7.7%), and female breast (6.9%) cancers. Overall incidence was from 2‐fold to 3‐fold higher in transitioned versus transitioning countries for both sexes, whereas mortality varied &lt;2‐fold for men and little for women. Death rates for female breast and cervical cancers, however, were considerably higher in transitioning versus transitioned countries (15.0 vs 12.8 per 100,000 and 12.4 vs 5.2 per 100,000, respectively). The global cancer burden is expected to be 28.4 million cases in 2040, a 47% rise from 2020, with a larger increase in transitioning (64% to 95%) versus transitioned (32% to 56%) countries due to demographic changes, although this may be further exacerbated by increasing risk factors associated with globalization and a growing economy. Efforts to build a sustainable infrastructure for the dissemination of cancer prevention measures and provision of cancer care in transitioning countries is critical for global cancer control.</jats:p>
10.1158/1078-0432.CCR-05-2019	Enhanced killing of primary ovarian cancer by retargeting autologous cytokine-induced killer cells with bispecific antibodies: a preclinical study	B15	"Oncogenesis is a complex process that involves multiple steps and the accumulation of several mutations that affect cell proliferation and equilibrium. Metastasis, which is the spread of cancer cells from the primary tumor to distant tissues and organs, is another complicated process that relies on the activation of several mechanisms. These mechanisms include angiogenesis, infiltration, embolization, survival in the bloodstream, arrest in organs, attachment to vessel walls, and extravasation ( 13 ). To initiate and control tumor progression and metastasis, cancer cells secrete cytokines, and regulatory immune cells play a crucial role in these processes. In response to cellular damage and stress, immune cells release cell signaling molecules that modify immune reactions, reducing cell injury and boosting cell development ( 14 ). However, cancer cells can bypass the immune system’s innate and adaptive defenses by generating antigens ( 15 ,  16 ). The tumor cells interact with the organ environment, known as the “soil and seeds hypotheses,” which is believed to cause metastasis ( 17 ). The cancer cells from the initial tumor are the seeds, and the metastatic site is the soil. Metastasis is the leading cause of mortality for more than 90% of cancer patients, including those with gynecological cancers. Gynecological cancers, such as ovarian and cervical cancer, are caused by genetic mutations that affect cell proliferation and equilibrium. These mutations are randomly produced by damage to DNA and lack or malfunction of DNA repair systems. The mechanisms involved in initiating and advancing metastasis in gynecological cancers include invasion, circulation, intravasation, extravasation, and colonization ( 
 Figure 1 
 )."	In response to cellular damage and stress, immune cells release cell signaling molecules that modify immune reactions, reducing cell injury and boosting cell development  14 . However, cancer cells can bypass the immune systems innate and adaptive defenses by generating antigens  15 ,  16 .	10.3389/fonc.2023.1215194		"<jats:title>Abstract</jats:title>
               <jats:p>Cytokine-induced killer (CIK) cells are ex vivo activated and expanded CD8+ natural killer T cells that have been shown to have antitumor activity. This is the first study exploring cell killing of primary ovarian carcinoma cells with and without bispecific antibodies. Primary cancer cells and autologous CIK cells were collected from women with epithelial ovarian cancer. Bispecific antibodies against cancer antigen-125 (BSAbxCA125) and Her2 (BSAbxHer2) were developed using chemical heteroconjugation. On fluorescence-activated cell sorting analysis, the expansion of CIK cells resulted in a significant increase of CD3+CD8+ and CD3+CD56+ T cells. With enhancement by bispecific antibodies, the mean percent lysis in a 51Cr release assay of fresh ovarian cancer cells exposed to autologous CIK cells increased from 21.7 ± 0.3% to 89.4 ± 2.1% at an E:T ratio of 100:1 (P &amp;lt; 0.001). Anti-NKG2D antibodies attenuated the CIK activity by 56.8% on primary cells (P &amp;lt; 0.001). In a xenograft severe combined immunodeficient mouse model, real-time tumor regression and progression was visualized using a noninvasive in vivo bioluminescence imaging system. Four hours after CIK cell injection, we were able to visualize CD8+NKG2D+ CIK cells infiltrating Her2-expressing cancer cells on fluorescence microscopy. Mice that underwent adoptive transfer of CIK cells redirected with BSAbxCA125 and BSAbxHer2 had significant reduction in tumor burden (P &amp;lt; 0.001 and P &amp;lt; 0.001) and improvement in survival (P = 0.05 and P = 0.006) versus those treated with CIK cells alone. Bispecific antibodies significantly enhanced the cytotoxicity of CIK cells in primary ovarian cancer cells and in our in vivo mouse model. The mechanism of cytolysis seems to be mediated in part by the NKG2D receptor.</jats:p>"
10.1210/jcem.85.11.6942	Angiogenesis in the human corpus luteum: localization and changes in angiopoietins, tie-2, and vascular endothelial growth factor messenger ribonucleic acid	B34	"In gynecological cancers, such as ovarian and cervical cancer, several molecular variables are linked to metastasis, including HOX genes, PI3K/AKT/mTOR signaling pathway, EGFR, platelet-derived growth factor receptors, and  vascular endothelial growth factor  (VEGF) ( 27 )—for instance, the ovulatory cycle-induced angiogenesis, the presence of COX-1, and the availability of growth factors offer an ideal environment for the implantation of glioma-initiating cells (GICs) in ovarian cancer (OC). Ovarian cancer commonly presents at advanced stages and can spread through both passive and hematogenous mechanisms ( 
 Figure 2 
 ) ( 28 ). Metastatic ovarian cancer (MOC) accounts for 2.3% to 23.7% of all malignant ovarian tumors that are generally transmitted from other organs. MOC most often arises from the gastrointestinal (GI) tract (71%), followed by the appendix (8%), breast (6%), and pancreas (4%), according to a recent research study in Japan. MOC differs from other gynecologic cancers. It has non-obvious symptoms in the early stages (abdominal mass and/or fullness is the most prevalent symptom) and no characteristic imaging findings ( 29 ). Compared to older female GIC patients, younger female GIC patients in the ovulatory period are more likely to develop MOC ( 30 ). The ovary’s ovulatory cycle, according to researchers, creates a perfect environment for GIC cells to survive and penetrate ( 31 ). When an oocyte is released to repair the surface of the ovary following ovulation, the epithelium of the ovary is disturbed by the buildup of steroid hormones. It is comparable to wound healing, which necessitates the formation of new blood vessels ( 32 ). According to other studies, the ovary has all of the  VEGF-A  isoforms, and both  VEGFR-1  and  VEGFR-2  are extensively expressed in ovarian capillaries ( 33 ).  Angiopoietin-2  was expressed in the ovary, which is noteworthy ( 34 ). Furthermore, numerous factors such as oxygen saturation, age, and endocrine function impacted the expression of angiogenic peptides. The ovary contains gonadotropic hormones such as luteinizing hormone (LH) and follicle-stimulating hormone (FSH). LH and FSH control ovarian angiogenesis by raising the  VEGF  levels dose-dependently ( 35 ). Moreover, LeCouter et al. (2001) discovered the first tissue-specific angiogenic molecule in ovarian tissue, which was obtained from the endocrine gland ( 36 ). Other variables and ovarian angiogenesis increase GIC cell growth, seeding, invasion, and survival.  COX  enzymes have been shown to transfer to eicosanoids, which have been shown to promote GIC cell transformation and proliferation.  COX  is also linked to the existence of  VEGF , which was previously explored.  COX-1  expression was abundant in both normal and malignant ovarian tissue, while  VEGF  was abundant in the same areas.  COX-1  seems to enhance neovascularization and cell proliferation, according to these data. GIC cells metastasizing to the ovary are also regulated by other growth factors such as epidermal growth factor, hepatocyte growth factor, and TGF. In conclusion, the ovulatory cycle-induced angiogenesis, the presence of  COX-1 , and the availability of growth factors offer an ideal environment for the implantation of GIC cells ( 37 ,  38 ). Cervical cancer development and metastasis are caused by genetic changes in multiple cell signaling systems that influence the choice of apoptosis or survival."	According to other studies, the ovary has all of the  VEGFA  isoforms, and both  VEGFR1  and  VEGFR2  are extensively expressed in ovarian capillaries  33 . Angiopoietin2  was expressed in the ovary, which is noteworthy  34 .	10.3389/fonc.2023.1215194		<jats:p>In the menstrual cycle, extensive angiogenesis accompanies luteinization. During luteolysis, endothelial cells die, whereas in a conceptual cycle, the corpus luteum (CL) persists, and endothelial cell survival is extended. A main stimulator for angiogenesis is vascular endothelial growth factor (VEGF), while the angiopoietins (Ang-1 and Ang-2) may be important modulators. The aim of this study was to investigate the localization of Ang-1, Ang-2, their common receptor Tie-2, and VEGF messenger ribonucleic acid (mRNA) at the different stages of the functional luteal phase and after rescue by hCG. Ang-1 mRNA was uniformly expressed at a low level throughout the CL. The signal was highest during the early luteal phase. In contrast, Ang-2 mRNA expression was localized strongly to individual granulosa and thecal luteal and endothelial cells. Administration of hCG was associated with an increase in the Ang-2 mRNA area of expression and grain density in individual luteal and endothelial cells. The Tie-2 receptor mRNA was localized in endothelial cells, and the area of expression was highest during the early luteal phase and during luteal rescue. VEGF mRNA was found exclusively in granulosa luteal cells, and the area of expression was highest in corpora lutea during simulated pregnancy. These results begin to characterize the molecular regulation of the divergent processes involved in luteal angiogenesis during luteinization, luteolysis, and rescue in the human and imply that the angiopoietins are involved during the initial angiogenic phase and in luteal rescue.</jats:p>
10.3322/caac.21660	Global cancer statistics 2020: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries	B1	OC has the 14th rank of cancer-attributed mortality among both sexes worldwide ( 1 ). Moreover, the 5-year survival of I–II stages varies from 75% to 92%, but around one-third of patients in Western countries are still diagnosed with advanced peritoneal dissemination and ascites ( 39 ). The development of a practical and sensitive approach for the early detection of ovarian cancer is required to reduce the high death rates. Unfortunately, the early stages of this disease are often not detected by recent diagnostic methods, such as  CA125  serum levels, pelvic examination, or transvaginal ultrasound ( 40 ).	Unfortunately, the early stages of this disease are often not detected by recent diagnostic methods, such as  CA125  serum levels, pelvic examination, or transvaginal ultrasound ( 40 ).	10.3389/fonc.2023.1215194		<jats:title>Abstract</jats:title><jats:p>This article provides an update on the global cancer burden using the GLOBOCAN 2020 estimates of cancer incidence and mortality produced by the International Agency for Research on Cancer. Worldwide, an estimated 19.3 million new cancer cases (18.1 million excluding nonmelanoma skin cancer) and almost 10.0 million cancer deaths (9.9 million excluding nonmelanoma skin cancer) occurred in 2020. Female breast cancer has surpassed lung cancer as the most commonly diagnosed cancer, with an estimated 2.3 million new cases (11.7%), followed by lung (11.4%), colorectal (10.0 %), prostate (7.3%), and stomach (5.6%) cancers. Lung cancer remained the leading cause of cancer death, with an estimated 1.8 million deaths (18%), followed by colorectal (9.4%), liver (8.3%), stomach (7.7%), and female breast (6.9%) cancers. Overall incidence was from 2‐fold to 3‐fold higher in transitioned versus transitioning countries for both sexes, whereas mortality varied &lt;2‐fold for men and little for women. Death rates for female breast and cervical cancers, however, were considerably higher in transitioning versus transitioned countries (15.0 vs 12.8 per 100,000 and 12.4 vs 5.2 per 100,000, respectively). The global cancer burden is expected to be 28.4 million cases in 2040, a 47% rise from 2020, with a larger increase in transitioning (64% to 95%) versus transitioned (32% to 56%) countries due to demographic changes, although this may be further exacerbated by increasing risk factors associated with globalization and a growing economy. Efforts to build a sustainable infrastructure for the dissemination of cancer prevention measures and provision of cancer care in transitioning countries is critical for global cancer control.</jats:p>
10.1158/0008-5472.CAN-07-1936	MicroRNA signatures in human ovarian cancer	B41	One approach to discovering diagnostic and prognostic biomarkers for ovarian cancer relies on the different levels of expression of certain miRNAs in plasma, ascites fluid, serum, serum exosomes, or tissue biopsies taken from ovarian cancer patients and healthy controls. One study of tissue miRNA expression profiles collected from subjects with ovarian cancer and healthy individuals showed distinct miRNA signature profiles between the two groups. All morphological histotypes of ovarian cancer tissue were included, showing typically elevated levels of miR-141 and miR-200a-c, which typically reduced the miR-125b, miR-199a, miR-140, and miR-145 levels. Furthermore, different miRNA patterns were found in ovarian cancer samples with different histopathological characteristics, i.e., serous, mucinous, and endometrioid as well as clear cell—for instance, miR-212 and miR-302b* were greatly elevated, whereas miR-222 was reduced in the endometrioid histotype compared to the serous histotype ( 41 ).	Furthermore, different miRNA patterns were found in ovarian cancer samples with different histopathological characteristics, i.e., serous, mucinous, and endometrioid as well as clear cell—for instance, miR-212 and miR-302b* were greatly elevated, whereas miR-222 was reduced in the endometrioid histotype compared to the serous histotype ( 41 ).	10.3389/fonc.2023.1215194		"<jats:title>Abstract</jats:title>
               <jats:p>Epithelial ovarian cancer (EOC) is the sixth most common cancer in women worldwide and, despite advances in detection and therapies, it still represents the most lethal gynecologic malignancy in the industrialized countries. Unfortunately, still relatively little is known about the molecular events that lead to the development of this highly aggressive disease. The relatively recent discovery of microRNAs (miRNA), a class of small noncoding RNAs targeting multiple mRNAs and triggering translation repression and/or RNA degradation, has revealed the existence of a new level of gene expression regulation. Multiple studies involving various types of human cancers proved that miRNAs have a causal role in tumorigenesis. Here we show that, in comparison to normal ovary, miRNAs are aberrantly expressed in human ovarian cancer. The overall miRNA expression could clearly separate normal versus cancer tissues. The most significantly overexpressed miRNAs were miR-200a, miR-141, miR-200c, and miR-200b, whereas miR-199a, miR-140, miR-145, and miR-125b1 were among the most down-modulated miRNAs. We could also identify miRNAs whose expression was correlated with specific ovarian cancer biopathologic features, such as histotype, lymphovascular and organ invasion, and involvement of ovarian surface. Moreover, the levels of miR-21, miR-203, and miR-205, up-modulated in ovarian carcinomas compared with normal tissues, were significantly increased after 5-aza-2′-deoxycytidine demethylating treatment of OVCAR3 cells, suggesting that the DNA hypomethylation could be the mechanism responsible for their overexpression. Our results indicate that miRNAs might play a role in the pathogenesis of human EOC and identify altered miRNA gene methylation as a possible epigenetic mechanism involved in their aberrant expression. [Cancer Res 2007;67(18):8699–707]</jats:p>"
10.3322/caac.21660	Global cancer statistics 2020: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries	B1	Endometrial cancer (EC) has the 19th rank of cancer-attributed mortality among both sexes worldwide ( 1 ). Endometrial cancer is categorized into two subtypes. Type I tumors are frequently preceded by endometrial hyperplasia and are usually endometrioid adenocarcinomas associated with unopposed estrogen stimulation and extreme obesity ( 113 ). Type II tumors arise in atrophic endometrium as primarily serous carcinomas, which are estrogen-independent and less differentiated, with a lower survival rate ( 113 ). Fortunately, most endometrial cancer cases are type I endometrioid, which have a better prognosis ( 114 ). This is primarily due to the fact that women with vaginal bleeding tend to seek treatment earlier, so their disease is diagnosed at an earlier stage ( 115 ). The most recent findings indicate a 5-year survival rate of 48.7% for FIGO stage III and 28.2% for FIGO stage IV disease ( 116 ).	The most recent findings indicate a 5-year survival rate of 48.7% for FIGO stage III and 28.2% for FIGO stage IV disease ( 116 ).	10.3389/fonc.2023.1215194		<jats:title>Abstract</jats:title><jats:p>This article provides an update on the global cancer burden using the GLOBOCAN 2020 estimates of cancer incidence and mortality produced by the International Agency for Research on Cancer. Worldwide, an estimated 19.3 million new cancer cases (18.1 million excluding nonmelanoma skin cancer) and almost 10.0 million cancer deaths (9.9 million excluding nonmelanoma skin cancer) occurred in 2020. Female breast cancer has surpassed lung cancer as the most commonly diagnosed cancer, with an estimated 2.3 million new cases (11.7%), followed by lung (11.4%), colorectal (10.0 %), prostate (7.3%), and stomach (5.6%) cancers. Lung cancer remained the leading cause of cancer death, with an estimated 1.8 million deaths (18%), followed by colorectal (9.4%), liver (8.3%), stomach (7.7%), and female breast (6.9%) cancers. Overall incidence was from 2‐fold to 3‐fold higher in transitioned versus transitioning countries for both sexes, whereas mortality varied &lt;2‐fold for men and little for women. Death rates for female breast and cervical cancers, however, were considerably higher in transitioning versus transitioned countries (15.0 vs 12.8 per 100,000 and 12.4 vs 5.2 per 100,000, respectively). The global cancer burden is expected to be 28.4 million cases in 2040, a 47% rise from 2020, with a larger increase in transitioning (64% to 95%) versus transitioned (32% to 56%) countries due to demographic changes, although this may be further exacerbated by increasing risk factors associated with globalization and a growing economy. Efforts to build a sustainable infrastructure for the dissemination of cancer prevention measures and provision of cancer care in transitioning countries is critical for global cancer control.</jats:p>
10.1159/000490020	Interaction of E3 ubiquitin ligase MARCH7 with long noncoding RNA MALAT1 and autophagy-related protein ATG7 promotes autophagy and invasion in ovarian cancer	B123	The  membrane associated RING-CH  ( MARCH ) protein family, which contains 11 members, is itself a part of the  RING finger E3 Ubiquitin Ligase  protein family.  MARCH7 , commonly referred to as  axotrophin , has been shown to affect proliferation, migration, invasion, immunological tolerance, the actin cytoskeleton, autophagy, and neuronal development in both normal cells and cancer cells ( 123 ).  MARCH7  was upregulated in developing rat spermatides during spermatogenesis, thus controlling the head and tail structural and functional properties ( 124 ). In mice,  MARCH7  knock-down reduced the invasion and proliferation as well as migration of OC cells and prevented OC development ( 123 ). Research has shown that  MARCH7 , a protein that belongs to the  MARCH  family of E3 ubiquitin ligases, is involved in regulating cell and tissue growth and differentiation. Specifically, MARCH7 has been found to be expressed at higher-than-normal levels in stem cells, precursor cells, cancer cells, and certain other cells and tissues ( 125 ). A wide variety of transcription factors (TFs) have been found to be involved in the EMT, including  Snail ,  Zeb , and  Twist . These TFs, in turn, affect several tyrosine kinase receptor signaling pathways, including  Hedgehog ,  β-catenin ,  TGF-β ,  STAT3 ,  Notch ,  Wnt , and  Nanog  ( 126 ). In HUVECs, miR-27b-3p not only suppressed cell proliferation and migration  via Smad7 -mediated modification of  TGF-β  but also sensitized breast cancer cells to several anti-cancer treatments both  in vivo  and  in vitro , suggesting the probable involvement of miR-27b-3p in cancer biology ( 127 ).	In mice,  MARCH7  knock-down reduced the invasion and proliferation as well as migration of OC cells and prevented OC development ( 123 ).	10.3389/fonc.2023.1215194		<jats:p>Background/Aims: Ubiquitin E3 ligase MARCH7 plays an important role in T cell proliferation and neuronal development. But its role in ovarian cancer remains unclear. This study aimed to investigate the role of Ubiquitin E3 ligase MARCH7 in ovarian cancer. Methods: Real-time PCR, immunohistochemistry and western blotting analysis were performed to determine the expression of MARCH7, MALAT1 and ATG7 in ovarian cancer cell lines and clinical specimens. The role of MARCH7 in maintaining ovarian cancer malignant phenotype was examined by Wound healing assay, Matrigel invasion assays and Mouse orthotopic xenograft model. Luciferase reporter assay, western blot analysis and ChIP assay were used to determine whether MARCH7 activates TGF-β-smad2/3 pathway by interacting with TGFβR2. Results: MARCH7 interacted with MALAT1 by miR-200a (microRNA-200a). MARCH7 may function as a competing endogenous RNA (ceRNA) to regulate the expression of ATG7 by competing with miR-200a. MARCH7 regulated TGF-β-smad2/3 pathway by interacting with TGFβR2. Inhibition of TGF-β-smad2/3 pathway downregulated MARCH7, MALAT1 and ATG7. MiR-200a regulated TGF-β induced autophagy, invasion and metastasis of SKOV3 cells by targeting MARCH7. MARCH7 silencing inhibited autophagy invasion and metastasis of SKOV3 cells both in vitro and in vivo. In contrast, MARCH7 overexpression promoted TGF-β induced autophagy, invasion and metastasis of A2780 cells in vitro by depending on MALAT1 and ATG7. We also found that TGF-β-smad2/3 pathway regulated MARCH7 and ATG7 through MALAT1. Conclusions: These findings suggested that TGFβR2-Smad2/3-MALAT1/MARCH7/ATG7 feedback loop mediated autophagy, migration and invasion in ovarian cancer.</jats:p>
10.1126/science.270.5240.1354	Sequence and characterization of a coactivator for the steroid hormone receptor superfamily	B129	"Another study has shown that the  steroid receptor coactivator  family ( SRC-2 ,  SRC-3 , and  SRC-1 ) was discovered to regulate the transcription of estrogen and progesterone receptors as well as other nuclear receptors (NRs) ( 129 ).  SRC  triggers a cascade of downstream signaling pathways, like  PI3K / Akt  pathways and  MAPK / ERK , and regulates numerous cellular processes, particularly migration.  SRC  has been identified to be an important oncoprotein in many cancer types due to its strong regulation of NRs. Researchers have found the over-expression of  SRC  in several tumor types, such as breast cancer ( 130 ). In EC,  SRC  expression has a correlation to the clinical stage and unfavorable prognosis as well as depth of tumor invasion into normal tissue ( 131 ,  132 ). Hu et al. (2019) reported lower levels of miR-449a in advanced endometrial cancer cells. Furthermore, the AN3CA and KLE EC cell lines exhibited a weaker tendency to migrate and invade when miR-449a was over-expressed.  SRC  mRNA would be one of the direct targets of miR-449a, as shown by luciferase reporter assays.  SRC  expression has been greater in advanced EC tissues that had spread to distant sites. miR-449a could downregulate  SRC  to inhibit metastasis and reduce activating  Akt  and  ERK1 / 2  pathways in EC cells ( 133 ).  
 Table 2 
  shows the contribution of some miRNAs to endometrial cancer metastasis."	Another study has shown that the  steroid receptor coactivator  family ( SRC-2 ,  SRC-3 , and  SRC-1 ) was discovered to regulate the transcription of estrogen and progesterone receptors as well as other nuclear receptors (NRs) ( 129 ).	10.3389/fonc.2023.1215194		<jats:p>A yeast two-hybrid system was used to identify a protein that interacts with and enhances the human progesterone receptor (hPR) transcriptional activity without altering the basal activity of the promoter. Because the protein stimulated transactivation of all the steroid receptors tested, it has been termed steroid receptor coactivator-1 (SRC-1). Coexpression of SRC-1 reversed the ability of the estrogen receptor to squelch activation by hPR. Also, the amino terminal truncated form of SRC-1 acted as a dominant-negative repressor. Together, these results indicate that SRC-1 encodes a coactivator that is required for full transcriptional activity of the steroid receptor superfamily.</jats:p>
10.3322/caac.21660	Global cancer statistics 2020: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries	B1	Cervical cancer (CC) is the fourth leading cause of death attributed to cancer among female patients worldwide ( 1 ). Long-term infections with higher-risk strains of human papillomavirus (HPV), like HPV-18 and HPV-16, account for the majority of CC cases ( 159 ). However, since some metastatic CC patients were found not to have had any HPV infection, it has been speculated that some unknown factors may be involved in the onset and progression of CC ( 160 ,  161 ).	However, since some metastatic CC patients were found not to have had any HPV infection, it has been speculated that some unknown factors may be involved in the onset and progression of CC ( 160 ,  161 ).	10.3389/fonc.2023.1215194		<jats:title>Abstract</jats:title><jats:p>This article provides an update on the global cancer burden using the GLOBOCAN 2020 estimates of cancer incidence and mortality produced by the International Agency for Research on Cancer. Worldwide, an estimated 19.3 million new cancer cases (18.1 million excluding nonmelanoma skin cancer) and almost 10.0 million cancer deaths (9.9 million excluding nonmelanoma skin cancer) occurred in 2020. Female breast cancer has surpassed lung cancer as the most commonly diagnosed cancer, with an estimated 2.3 million new cases (11.7%), followed by lung (11.4%), colorectal (10.0 %), prostate (7.3%), and stomach (5.6%) cancers. Lung cancer remained the leading cause of cancer death, with an estimated 1.8 million deaths (18%), followed by colorectal (9.4%), liver (8.3%), stomach (7.7%), and female breast (6.9%) cancers. Overall incidence was from 2‐fold to 3‐fold higher in transitioned versus transitioning countries for both sexes, whereas mortality varied &lt;2‐fold for men and little for women. Death rates for female breast and cervical cancers, however, were considerably higher in transitioning versus transitioned countries (15.0 vs 12.8 per 100,000 and 12.4 vs 5.2 per 100,000, respectively). The global cancer burden is expected to be 28.4 million cases in 2040, a 47% rise from 2020, with a larger increase in transitioning (64% to 95%) versus transitioned (32% to 56%) countries due to demographic changes, although this may be further exacerbated by increasing risk factors associated with globalization and a growing economy. Efforts to build a sustainable infrastructure for the dissemination of cancer prevention measures and provision of cancer care in transitioning countries is critical for global cancer control.</jats:p>
10.1002/jcb.28321	microRNA-802 inhibits cell proliferation and induces apoptosis in human cervical cancer by targeting serine/arginine-rich splicing factor 9	B162	Epithelial ovarian cancer, prostate cancer, and gastric cancer have all been found to be inhibited by miR-802 acting as a tumor suppressor ( 86 ). miRNA-802 can modulate  serine/arginine-rich splicing factor 1  ( SRSF1 ) to inhibit cervical carcinoma cell proliferation and promote cell death ( 162 ). The cytoskeletal protein cluster  myosin regulatory light chain interacting protein  ( MYLIP ) participates in cell migration ( 163 ).  MYLIP  contributes to cell motility, preservation of cellular morphology, remodeling of cytoskeletal proteins, and the adherence of cells to the ECM via interaction with cell membrane proteins ( 164 ). Ni et al. (2021) investigated the potential role of miR-802 in CC growth, invasion, and migration. The researchers used qRT-PCR to measure the expression levels of miR-802 and  MYLIP  in CC cells and tissues. They also employed a range of assays, including the CCK-8 assay, transwell invasion assay, scratch wound healing assay, and colony formation assay, to investigate the effects of miR-802 on CC cell proliferation and metastasis. In addition, an  in vivo  mouse xenograft model was used to examine the impact of miR-802 on CC development, and Western blotting and IHC were used to determine the  MYLIP  expression levels. The study found that the miR-802 levels were significantly lower in CC cells and tissues compared to normal cells and tissues. Higher levels of miR-802 were associated with reduced aggressiveness and slower growth of CC cells. The researchers also identified MYLIP as a direct target of miR-802 and found that it was over-expressed in CC. miR-802 could no longer suppress cervical cancer cell metastasis and proliferation when  MYLIP  was over-expressed. miR-802 inhibited the tumor growth of cervix  in vivo , which also lowered  MYLIP . In conclusion, miR-802 targets  MYLIP  for suppressing CC cell proliferation and metastasis ( 165 ).	Epithelial ovarian cancer, prostate cancer, and gastric cancer have all been found to be inhibited by miR-802 acting as a tumor suppressor ( 86 ). miRNA-802 can modulate  serine/arginine-rich splicing factor 1  ( SRSF1 ) to inhibit cervical carcinoma cell proliferation and promote cell death ( 162 ).	10.3389/fonc.2023.1215194		<jats:title>Abstract</jats:title><jats:p>microRNAs (miRNAs) play crucial roles in cancer development and progression by targeting mRNAs for degradation and/or translational repression. microRNA‐802 (miR‐802) has been reported as a tumor suppressor and its deregulation is observed in various human cancers. However, the prognostic value of miR‐802 and its underlying mechanisms involved in human cervical cancer are poorly investigated. The purposes of this study were to explore the role of miR‐802 in cervical cancer and to clarify the regulation of serine/arginine‐rich splicing factor 9 (SRSF9) by miR‐802. Here, we found that miR‐802 was downregulated in both cervical cancer tissues and cell lines. Transfection of a miR‐802 mimic into cervical cancer cells inhibited their proliferation and colony formation, and promoted cell cycle arrest at the G0/G1 phase and cell apoptosis. In addition, we found that miR‐802 could directly target the 3′‐untranslated region of SRSF9 and suppress SRSF9 expression. Rescue experiments revealed that overexpression of SRSF9 partially reversed the inhibition effect of miR‐802 in cervical cancer cells. Overall, these findings demonstrate that miR‐802 functions as a tumor suppressor in cervical cancer by targeting SRSF9, suggesting that miR‐802 might serve as a potential therapeutic target in cervical cancer.</jats:p>
